symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
NQH6,-2,0,0.25,393570670790,393570670781,1,25266.00,25271.00,$100.00,02/11/2026 16:10:55,02/11/2026 15:34:46,36min 8sec
MESH6,-2,0,0.25,393570670868,393570670907,1,6961.25,6966.00,$23.75,02/12/2026 01:33:16,02/12/2026 01:33:46,29sec
MESH6,-2,0,0.25,393570670875,393570670915,1,6961.50,6966.00,$22.50,02/12/2026 01:33:16,02/12/2026 01:33:46,29sec
MESH6,-2,0,0.25,393570670881,393570670943,1,6962.25,6963.00,$3.75,02/12/2026 01:33:17,02/12/2026 01:34:31,1min 13sec
MESH6,-2,0,0.25,393570670989,393570671061,1,6964.25,6966.50,$11.25,02/12/2026 01:38:20,02/12/2026 01:39:47,1min 27sec
MESH6,-2,0,0.25,393570670995,393570671069,1,6964.75,6966.50,$8.75,02/12/2026 01:38:20,02/12/2026 01:39:47,1min 27sec
MESH6,-2,0,0.25,393570671001,393570671080,1,6965.00,6967.00,$10.00,02/12/2026 01:38:20,02/12/2026 01:39:55,1min 35sec
MESH6,-2,0,0.25,393570671134,393570671245,1,6971.25,6968.25,$(15.00),02/12/2026 01:42:55,02/12/2026 01:46:35,3min 40sec
MESH6,-2,0,0.25,393570671164,393570671253,1,6970.75,6968.25,$(12.50),02/12/2026 01:44:14,02/12/2026 01:46:35,2min 21sec
MESH6,-2,0,0.25,393570671170,393570671261,1,6971.50,6968.25,$(16.25),02/12/2026 01:44:17,02/12/2026 01:46:35,2min 18sec
